Diagnosis Code Market,Specialty
A,Infectious and Parasitic Diseases
B,Infectious and Parasitic Diseases
C,Neoplasms
D,"Neoplasms, Blood, Blood-forming Organs"
E,"Endocrine, Nutritional, Metabolic"
F,Mental and Behavioral Disorders
G,Nervous System
H,"Eye and Adnexa, Ear and Mastoid Process"
I,Circulatory System
J,Respiratory System
K,Digestive System
L,Skin and Subcutaneous Tissue
M,Musculoskeletal and Connective Tissue
N,Genitourinary System
O,"Pregnancy, Childbirth and the Puerperium"
P,Certain Conditions Originating in the Perinatal Period
Q,"Congenital Malformations, Deformations and Chromosomal Abnormalities"
R,"Symptoms, Signs and Abnormal Clinical and Lab Findings"
S,"Injury, Poisoning, Certain Other Consequences of External Causes"
T,"Injury, Poisoning, Certain Other Consequences of External Causes"
U,Codes for special purposes
V,External Causes of Morbidity
W,External Causes of Morbidity
X,External Causes of Morbidity
Y,External Causes of Morbidity
Z,Factors Influencing Health Status and Contact with Health Services
